name,date_of_birth
Leandro Barreiro,03-01-2000
Dominik Kohr,31-01-1994
Edimilson Fernandes,15-04-1996
Aymen Barkok,21-05-1998
Eniss Shabani,29-05-2003
Jae-sung Lee,10-08-1992
Delano Burgzorg,07-11-1998
Brajan Gruda,31-05-2004
Jonathan Burkardt,11-07-2000
Ludovic Ajorque,25-02-1994
Marcus Ingvartsen,04-01-1996
Karim Onisiwo,17-03-1992
Nelson Weiper,17-03-2005
Marlon Mustapha,24-05-2001
Marvin Schwäbe,25-04-1995
Timo Horn,12-05-1993
Julian Roloff,17-01-2001
Matthias Köbbing,28-05-1997
Timo Hübers,20-07-1996
Luca Kilian,01-09-1999
Julian Chabot,12-02-1998
Nikola Soldo,25-01-2001
Rijad Smajic,02-05-2004
Jonas Hector,27-05-1990
Kristian Pedersen,04-08-1994
Benno Schmitz,17-11-1994
Ellyes Skhiri,10-05-1995
Dejan Ljubičić,08-10-1997
Eric Martel,29-04-2002
Georg Strauch,30-03-2001
Denis Huseinbasic,03-07-2001
Mathias Olesen,21-03-2001
Joshua Schwirten,07-01-2002
Kingsley Schindler,12-07-1993
Florian Kainz,24-10-1992
Jan Thielmann,26-05-2002
Linton Maina,23-06-1999
Dimitrios Limnios,27-05-1998
Steffen Tigges,31-07-1998
Mark Uth,24-08-1991
Sargis Adamyan,23-05-1993
Tim Lemperle,05-02-2002
Davie Selke,20-01-1995
Sebastian Andersson,15-07-1991
Florian Dietz,03-08-1998
Maximilian Schmid,05-03-2003
Oliver Christensen,22-03-1999
Tjark Ernst,15-03-2003
Rune Jarstein,29-09-1984
Marc Oliver Kempf,28-01-1995
Márton Dárdai,12-02-2002
Agustín Rogel,17-10-1997
Filip Uremovic,11-02-1997
Maximilian Mittelstädt,18-03-1997
Marvin Plattenhardt,26-01-1992
Lukas Ullrich,16-03-2004
Jonjoe Kenny,15-03-1997
Peter Pekarik,30-10-1986
Julian Eitschberger,05-03-2004
Lucas Tousart,29-04-1997
Ivan Sunjic,09-10-1996
Tolga Cigerci,23-03-1992
Suat Serdar,11-04-1997
Jean-Paul Boëtius,22-03-1994
Kevin-Prince Boateng,06-03-1987
Chidera Ejuke,02-01-1998
Dodi Lukébakio,24-09-1997
Marco Richter,24-11-1997
Kelian Nsona,11-05-2002
Jessic Ngankam,20-07-2000
Wilfried Kanga,21-02-1998
Florian Niederlechner,24-10-1990
Stevan Jovetić,02-11-1989
Derry Scherhant,10-11-2002
Ibrahim Maza,24-11-2005
Jiří Pavlenka,14-04-1992
Michael Zetterer,12-07-1995
Mio Backhaus,16-04-2004
Dudu,10-02-1999
Louis Lord,22-10-2003
Marco Friedl,16-03-1998
Amos Pieper,17-01-1998
Niklas Stark,14-04-1995
Milos Veljkovic,26-09-1995
Fabio Chiarodia,05-06-2005
Lee Buchanan,07-03-2001
Anthony Jung,03-11-1991
Mitchell Weiser,21-04-1994
Felix Agu,27-09-1999
Ilia Gruev,06-05-2000
Christian Groß,08-02-1989
Dikeni Salifou,08-06-2003
Jens Stage,08-11-1996
Jean Manuel Mbom,24-02-2000
Romano Schmid,27-01-2000
Leonardo Bittencourt,19-12-1993
Niklas Schmidt,01-03-1998
Maximilian Philipp,01-03-1994
Niclas Füllkrug,09-02-1993
Marvin Ducksch,07-03-1994
Eren Dinkci,13-12-2001
Alexander Schwolow,02-06-1992
Ralf Fährmann,27-09-1988
Justin Heekeren,27-11-2000
Michael Langer,06-01-1985
Moritz Jenz,30-04-1999
Sepp van den Berg,20-12-2001
Leo Greiml,03-07-2001
Maya Yoshida,24-08-1988
Marcin Kaminski,15-01-1992
Henning Matriciani,14-03-2000
Timothée Kolodziejczak,01-10-1991
Ibrahima Cissé,28-02-1994
Thomas Ouwejan,30-09-1996
Jere Uronen,13-07-1994
Cédric Brunner,17-02-1994
Mehmet Aydin,09-02-2002
Alex Kral,19-05-1998
Éder Balanta,28-02-1993
Niklas Tauer,17-02-2001
Tom Krauß,22-06-2001
Danny Latza,07-12-1989
Soichiro Kozuki,22-12-2000
Tobias Mohr,24-08-1995
Rodrigo Zalazar,12-08-1999
Dominick Drexler,26-05-1990
Marius Bülter,29-03-1993
Tim Skarke,07-09-1996
Michael Frey,19-07-1994
Sebastian Polter,01-04-1991
Kenan Karaman,05-03-1994
Simon Terodde,02-03-1988
Manuel Riemann,09-09-1988
Marko Johansson,25-08-1998
Michael Esser,22-11-1987
Paul Grave,10-04-2001
Erhan Masovic,22-11-1998
Ivan Ordets,08-07-1992
Keven Schlotterbeck,28-04-1997
Dominique Heintz,15-08-1993
Vasilios Lampropoulos,31-03-1990
Mohammed Tolba,19-07-2004
Danilo Soares,29-10-1991
Konstantinos Stafylidis,02-12-1993
Jordi Osei-Tutu,02-10-1998
Saidy Janko,22-10-1995
Cristian Gamboa,24-10-1989
Jacek Goralski,21-09-1992
Anthony Losilla,10-03-1986
Patrick Osterhage,01-02-2000
Pierre Kunde,26-07-1995
Kevin Stöger,27-08-1993
Philipp Förster,04-02-1995
Gerrit Holtmann,25-03-1995
Christopher Antwi-Adjei,07-02-1994
Takuma Asano,10-11-1994
Philipp Hofmann,30-03-1993
Simon Zoller,26-06-1991
Silvère Ganvuola,29-06-1996
Moritz Broschinski,23-09-2000
